,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
773,COL4A6,ITGA2,Collagen alpha-6(IV) chain,Integrin alpha-2,,CD49B,,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,fantom5,,,,,COL4A6_ITGA2,,,,,,,,,
774,COL4A6,ITGAV,Collagen alpha-6(IV) chain,Integrin alpha-V,,"MSK8,VNRA,VTNR",,Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,fantom5,,,,,COL4A6_ITGAV,,,,,,,,,
775,COL4A6,ITGB1,Collagen alpha-6(IV) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL4A6_ITGB1,,,,,,,,,
776,COL5A1,ITGA1,Collagen alpha-1(V) chain,Integrin alpha-1,,,,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,fantom5,,,,,COL5A1_ITGA1,,,,,,,,,
777,COL5A1,ITGB1,Collagen alpha-1(V) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL5A1_ITGB1,,,,,,,,,
778,COL5A1,SDC3,Collagen alpha-1(V) chain,Syndecan-3,,KIAA0468,,SYND3,"HPRD,fantom5",11751872,,,,COL5A1_SDC3,,,,,,,,,
779,COL5A2,DDR1,Collagen alpha-2(V) chain,Epithelial discoidin domain-containing receptor 1,,"CAK,EDDR1,NEP,NTRK4,PTK3A,RTK6,TRKE",,Epithelial discoidin domain receptor 1 || EC 2.7.10.1 || CD167 antigen-like family member A || Cell adhesion kinase || Discoidin receptor tyrosine kinase || HGK2 || Mammary carcinoma kinase 10 || MCK-10 || Protein-tyrosine kinase 3A || Protein-tyrosine kinase RTK-6 || TRK E || Tyrosine kinase DDR || Tyrosine-protein kinase CAK || CD antigen CD167a,"HPRD,fantom5",9659900,,,,COL5A2_DDR1,,,,,,,,,
780,COL5A2,ITGA1,Collagen alpha-2(V) chain,Integrin alpha-1,,,,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,fantom5,,,,,COL5A2_ITGA1,,,,,,,,,
781,COL5A2,ITGB1,Collagen alpha-2(V) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL5A2_ITGB1,,,,,,,,,
782,COL5A3,SDC3,Collagen alpha-3(V) chain,Syndecan-3,,KIAA0468,,SYND3,"HPMR,fantom5",11751872,,,,COL5A3_SDC3,,,,,,,,,
783,COL6A1,ITGA1,Collagen alpha-1(VI) chain,Integrin alpha-1,,,,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,fantom5,,,,,COL6A1_ITGA1,,,,,,,,,
784,COL6A1,ITGA2,Collagen alpha-1(VI) chain,Integrin alpha-2,,CD49B,,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,fantom5,,,,,COL6A1_ITGA2,,,,,,,,,
785,COL6A1,ITGA6,Collagen alpha-1(VI) chain,Integrin alpha-6,,,,CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p),fantom5,,,,,COL6A1_ITGA6,,,,,,,,,
786,COL6A1,ITGB1,Collagen alpha-1(VI) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL6A1_ITGB1,,,,,,,,,
787,COL6A2,ITGA1,Collagen alpha-2(VI) chain,Integrin alpha-1,,,,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,fantom5,,,,,COL6A2_ITGA1,,,,,,,,,
788,COL6A2,ITGA2,Collagen alpha-2(VI) chain,Integrin alpha-2,,CD49B,,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,fantom5,,,,,COL6A2_ITGA2,,,,,,,,,
789,COL6A2,ITGB1,Collagen alpha-2(VI) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL6A2_ITGB1,,,,,,,,,
792,COL6A3,ITGB1,Collagen alpha-3(VI) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL6A3_ITGB1,,,,,,,,,
793,COL7A1,ITGA2,Collagen alpha-1(VII) chain,Integrin alpha-2,,CD49B,Long-chain collagen || LC collagen,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,fantom5,,,,,COL7A1_ITGA2,,,,,,,,,
794,COL7A1,ITGB1,Collagen alpha-1(VII) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",Long-chain collagen || LC collagen,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,COL7A1_ITGB1,,,,,,,,,
795,COL8A1,ITGA1,Collagen alpha-1(VIII) chain,Integrin alpha-1,C3orf7,,Endothelial collagen) [Cleaved into: Vastatin,CD49 antigen-like family member A || Laminin and collagen receptor || VLA-1 || CD antigen CD49a,"HPRD,fantom5","12482545,11",,,,COL8A1_ITGA1,,,,,,,,,
796,COL8A1,ITGA2,Collagen alpha-1(VIII) chain,Integrin alpha-2,C3orf7,CD49B,Endothelial collagen) [Cleaved into: Vastatin,CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b,"fantom5,HPRD","12482545,11",,,,COL8A1_ITGA2,,,,,,,,,
797,COL9A1,ITGB1,Collagen alpha-1(IX) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,COL9A1_ITGB1,,,,,,,,,
798,COL9A1,MAG,Collagen alpha-1(IX) chain,Myelin-associated glycoprotein,,GMA,,Siglec-4a,"HPRD,fantom5",2446864,,,,COL9A1_MAG,,,,,,,,,
799,COL9A2,ITGB1,Collagen alpha-2(IX) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,COL9A2_ITGB1,,,,,,,,,
800,COL9A2,MAG,Collagen alpha-2(IX) chain,Myelin-associated glycoprotein,,GMA,,Siglec-4a,"fantom5,HPRD",2446864,,,,COL9A2_MAG,,,,,,,,,
801,COL9A3,ITGB1,Collagen alpha-3(IX) chain,Integrin beta-1,,"FNRB,MDF2,MSK12",,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,reactome,,,,,COL9A3_ITGB1,,,,,,,,,
802,COL9A3,MAG,Collagen alpha-3(IX) chain,Myelin-associated glycoprotein,,GMA,,Siglec-4a,"HPRD,fantom5",2446864,,,,COL9A3_MAG,,,,,,,,,
803,COLQ,MUSK,Acetylcholinesterase collagenic tail peptide,"Muscle, skeletal receptor tyrosine-protein kinase",,,AChE Q subunit || Acetylcholinesterase-associated collagen,EC 2.7.10.1 || Muscle-specific tyrosine-protein kinase receptor || MuSK || Muscle-specific kinase receptor,"fantom5,HPRD",15159418,,,,COLQ_MUSK,,,,,,,,,
805,COMP,ITGB3,Cartilage oligomeric matrix protein,Integrin beta-3,,GP3A,COMP || Thrombospondin-5 || TSP5,Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61,reactome,,,,,COMP_ITGB3,,,,,,,,,
806,CORT,ADRA2A,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Alpha-2A adrenergic receptor,UNQ307/PRO350,"ADRA2R,ADRAR",,Alpha-2 adrenergic receptor subtype C10 || Alpha-2A adrenoreceptor || Alpha-2A adrenoceptor || Alpha-2AAR,reactome,,,,,CORT_ADRA2A,,,,,,,,,
807,CORT,GHSR,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Growth hormone secretagogue receptor type 1,UNQ307/PRO350,,,GHS-R || GH-releasing peptide receptor || GHRP || Ghrelin receptor,"HPRD,HPMR,fantom5",11227737,,,,CORT_GHSR,,,,,,,,,
808,CORT,GRM7,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Metabotropic glutamate receptor 7,UNQ307/PRO350,"GPRC1G,MGLUR7",,mGluR7,reactome,,,,,CORT_GRM7,,,,,,,,,
809,CORT,MRGPRX2,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Mas-related G-protein coupled receptor member X2,UNQ307/PRO350,MRGX2,,,"fantom5,HPMR,HPRD",12915402,,,,CORT_MRGPRX2,,,,,,,,,
810,CORT,MTNR1A,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Melatonin receptor type 1A,UNQ307/PRO350,,,Mel-1A-R || Mel1a receptor,reactome,,,,,CORT_MTNR1A,,,,,,,,,
811,CORT,SSTR1,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Somatostatin receptor type 1,UNQ307/PRO350,,,SS-1-R || SS1-R || SS1R || SRIF-2,"HPMR,fantom5,IUPHAR,HPRD","11011067,9650799,10598788,15333679,9205124,9125122",,,,CORT_SSTR1,,,,,,,,,
812,CORT,SSTR2,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Somatostatin receptor type 2,UNQ307/PRO350,,,SS-2-R || SS2-R || SS2R || SRIF-1,"HPRD,HPMR,IUPHAR,fantom5","9125122,9650799,10598788,15333679",,,,CORT_SSTR2,,,,,,,,,
813,CORT,SSTR3,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Somatostatin receptor type 3,UNQ307/PRO350,,,SS-3-R || SS3-R || SS3R || SSR-28,"HPRD,HPMR,IUPHAR,fantom5","9125122,9650799,10598788,15333679,9205124",,,,CORT_SSTR3,,,,,,,,,
814,CORT,SSTR4,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Somatostatin receptor type 4,UNQ307/PRO350,,,SS-4-R || SS4-R || SS4R,"HPRD,HPMR,fantom5,IUPHAR","11011067,9650799,10598788,9125122,9205124",,,,CORT_SSTR4,,,,,,,,,
815,CORT,SSTR5,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],Somatostatin receptor type 5,UNQ307/PRO350,,,SS-5-R || SS5-R || SS5R,"HPRD,HPMR,IUPHAR,fantom5","11011067,9650799,10598788,15333679,9205124,9125122",,,,CORT_SSTR5,,,,,,,,,
817,CP,SLC40A1,Ceruloplasmin,Solute carrier family 40 member 1,,"FPN1,IREG1,SLC11A3,MSTP079",EC 1.16.3.1 || Ferroxidase,Ferroportin-1 || Iron-regulated transporter 1,fantom5,24921009,,,,CP_SLC40A1,,,,,,,,,
819,CRH,ADRB2,Corticoliberin,Beta-2 adrenergic receptor,,"ADRB2R,B2AR",Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,Beta-2 adrenoreceptor || Beta-2 adrenoceptor,reactome,,,,,CRH_ADRB2,,,,,,,,,
821,CRH,CRHR1,Corticoliberin,Corticotropin-releasing factor receptor 1,,"CRFR,CRFR1,CRHR",Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,CRF-R-1 || CRF-R1 || CRFR-1 || Corticotropin-releasing hormone receptor 1 || CRH-R-1 || CRH-R1,"HPRD,fantom5,IUPHAR,HPMR","8536644,7692441,9326293,9851694,11123370,8612563,7477349,9178757",,,,CRH_CRHR1,,,,,,,,,
822,CRH,CRHR2,Corticoliberin,Corticotropin-releasing factor receptor 2,,"CRF2R,CRH2R",Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,CRF-R-2 || CRF-R2 || CRFR-2 || Corticotropin-releasing hormone receptor 2 || CRH-R-2 || CRH-R2,"fantom5,IUPHAR,HPMR,HPRD","8536644,11123370,8243338",,,,CRH_CRHR2,,,,,,,,,
823,CRH,GPR20,Corticoliberin,G-protein coupled receptor 20,,,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,,reactome,,,,,CRH_GPR20,,,,,,,,,
824,CRH,GPR84,Corticoliberin,G-protein coupled receptor 84,,EX33,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,Inflammation-related G-protein coupled receptor EX33,reactome,,,,,CRH_GPR84,,,,,,,,,
826,CRH,PTH1R,Corticoliberin,Parathyroid hormone/parathyroid hormone-related peptide receptor,,"PTHR,PTHR1",Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,PTH/PTHrP type I receptor || PTH/PTHr receptor || Parathyroid hormone 1 receptor || PTH1 receptor,reactome,,,,,CRH_PTH1R,,,,,,,,,
827,CRH,RAMP2,Corticoliberin,Receptor activity-modifying protein 2,,,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,Calcitonin-receptor-like receptor activity-modifying protein 2 || CRLR activity-modifying protein 2,reactome,,,,,CRH_RAMP2,,,,,,,,,
828,CRH,RAMP3,Corticoliberin,Receptor activity-modifying protein 3,,,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,Calcitonin-receptor-like receptor activity-modifying protein 3 || CRLR activity-modifying protein 3,reactome,,,,,CRH_RAMP3,,,,,,,,,
829,CRH,TSHR,Corticoliberin,Thyrotropin receptor,,LGR3,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,Thyroid-stimulating hormone receptor || TSH-R,reactome,,,,,CRH_TSHR,,,,,,,,,
830,CRH,VIPR1,Corticoliberin,Vasoactive intestinal polypeptide receptor 1,,,Corticotropin-releasing factor || CRF || Corticotropin-releasing hormone,VIP-R-1 || Pituitary adenylate cyclase-activating polypeptide type II receptor || PACAP type II receptor || PACAP-R-2 || PACAP-R2 || VPAC1,reactome,,,,,CRH_VIPR1,,,,,,,,,
831,CRP,OLR1,C-reactive protein [Cleaved into: C-reactive protein(1-205)],Oxidized low-density lipoprotein receptor 1,PTX1,"CLEC8A,LOX1",,"Ox-LDL receptor 1 || C-type lectin domain family 8 member A || Lectin-like oxidized LDL receptor 1 || LOX-1 || Lectin-like oxLDL receptor 1 || hLOX-1 || Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form",fantom5,21821723,,,,CRP_OLR1,,,,,,,,,
832,CSF1,CSF1R,Macrophage colony-stimulating factor 1,Macrophage colony-stimulating factor 1 receptor,,FMS,CSF-1 || M-CSF || MCSF || Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1,CSF-1 receptor || CSF-1-R || CSF-1R || M-CSF-R || EC 2.7.10.1 || Proto-oncogene c-Fms || CD antigen CD115,"uniprot,IUPHAR,fantom5,HPMR,HPRD","7883784,2408759,8355686",,,,CSF1_CSF1R,,,,,,,,,
833,CSF2,CSF1R,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1 receptor,GMCSF,FMS,GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,CSF-1 receptor || CSF-1-R || CSF-1R || M-CSF-R || EC 2.7.10.1 || Proto-oncogene c-Fms || CD antigen CD115,"IUPHAR,fantom5",,,,,CSF2_CSF1R,,,,,,,,,
834,CSF2,CSF2RA,Granulocyte-macrophage colony-stimulating factor,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,GMCSF,"CSF2R,CSF2RY",GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,GM-CSF-R-alpha || GMCSFR-alpha || GMR-alpha || CDw116 || CD antigen CD116,"HPRD,fantom5,uniprot,IUPHAR,HPMR","2828352,10572088,1702217,8910448,9211889",,,,CSF2_CSF2RA,,,,,,,,,
835,CSF2,CSF2RB,Granulocyte-macrophage colony-stimulating factor,Cytokine receptor common subunit beta,GMCSF,"IL3RB,IL5RB",GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,CDw131 || GM-CSF/IL-3/IL-5 receptor common beta subunit || CD antigen CD131,"HPMR,fantom5,uniprot,HPRD","2828352,8278375,2645577",,,,CSF2_CSF2RB,,,,,,,,,
836,CSF2,CSF3R,Granulocyte-macrophage colony-stimulating factor,Granulocyte colony-stimulating factor receptor,GMCSF,GCSFR,GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,G-CSF receptor || G-CSF-R || CD antigen CD114,"HPMR,fantom5",11091218,,,,CSF2_CSF3R,,,,,,,,,
837,CSF2,IL3RA,Granulocyte-macrophage colony-stimulating factor,Interleukin-3 receptor subunit alpha,GMCSF,IL3R,GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,IL-3 receptor subunit alpha || IL-3R subunit alpha || IL-3R-alpha || IL-3RA || CD antigen CD123,"fantom5,HPRD",7957082,,,,CSF2_IL3RA,,,,,,,,,
838,CSF2,ITGA9,Granulocyte-macrophage colony-stimulating factor,Integrin alpha-9,GMCSF,,GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,Integrin alpha-RLC,fantom5,,,,,CSF2_ITGA9,,,,,,,,,
839,CSF2,ITGB1,Granulocyte-macrophage colony-stimulating factor,Integrin beta-1,GMCSF,"FNRB,MDF2,MSK12",GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,fantom5,,,,,CSF2_ITGB1,,,,,,,,,
840,CSF2,SDC2,Granulocyte-macrophage colony-stimulating factor,Syndecan-2,GMCSF,HSPG1,GM-CSF || Colony-stimulating factor || CSF || Molgramostin || Sargramostim,SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362,"HPRD,fantom5",10734053,,,,CSF2_SDC2,,,,,,,,,
841,CSF3,CSF1R,Granulocyte colony-stimulating factor,Macrophage colony-stimulating factor 1 receptor,"C17orf33,GCSF",FMS,G-CSF || Pluripoietin || Filgrastim || Lenograstim,CSF-1 receptor || CSF-1-R || CSF-1R || M-CSF-R || EC 2.7.10.1 || Proto-oncogene c-Fms || CD antigen CD115,"fantom5,IUPHAR",,,,,CSF3_CSF1R,,,,,,,,,
842,CSF3,CSF3R,Granulocyte colony-stimulating factor,Granulocyte colony-stimulating factor receptor,"C17orf33,GCSF",GCSFR,G-CSF || Pluripoietin || Filgrastim || Lenograstim,G-CSF receptor || G-CSF-R || CD antigen CD114,"HPRD,fantom5,IUPHAR",10364174,,,,CSF3_CSF3R,,,,,,,,,
843,CSH1,PRLR,Chorionic somatomammotropin hormone 1,Prolactin receptor,,,Choriomammotropin || Lactogen || Placental lactogen || PL,PRL-R,"IUPHAR,fantom5,HPRD",10966654,,,,CSH1_PRLR,,,,,,,,,
844,CSH2,PRLR,Chorionic somatomammotropin hormone 2,Prolactin receptor,,,Choriomammotropin || Lactogen || Placental lactogen || PL,PRL-R,"fantom5,IUPHAR",,,,,CSH2_PRLR,,,,,,,,,
845,CSHL1,GHR,Chorionic somatomammotropin hormone-like 1,Growth hormone receptor,"CSHP1,CSL",,Chorionic somatomammotropin-like || Lactogen-like,GH receptor || Somatotropin receptor) [Cleaved into: Growth hormone-binding protei || GH-binding protein || GHBP || Serum-binding protein),fantom5,,,,,CSHL1_GHR,,,,,,,,,
846,CSHL1,PRLR,Chorionic somatomammotropin hormone-like 1,Prolactin receptor,"CSHP1,CSL",,Chorionic somatomammotropin-like || Lactogen-like,PRL-R,"fantom5,IUPHAR",,,,,CSHL1_PRLR,,,,,,,,,
847,CTF1,IL6ST,Cardiotrophin-1,Interleukin-6 receptor subunit beta,,,CT-1,IL-6 receptor subunit beta || IL-6R subunit beta || IL-6R-beta || IL-6RB || CDw130 || Interleukin-6 signal transducer || Membrane glycoprotein 130 || gp130 || Oncostatin-M receptor subunit alpha || CD antigen CD130,"fantom5,HPRD",11834704,,,,CTF1_IL6ST,,,,,,,,,
848,CTF1,LIFR,Cardiotrophin-1,Leukemia inhibitory factor receptor,,,CT-1,LIF receptor || LIF-R || CD antigen CD118,"fantom5,HPRD",11834704,,,,CTF1_LIFR,,,,,,,,,
849,CTGF,ERBB4,Connective tissue growth factor,Receptor tyrosine-protein kinase erbB-4,"CCN2,HCS24,IGFBP8",HER4,CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4),"HPRD,fantom5",12297288,,,,CTGF_ERBB4,,,,,,,,,
850,CTGF,ITGA5,Connective tissue growth factor,Integrin alpha-5,"CCN2,HCS24,IGFBP8",FNRA,CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,fantom5,18167060,,,,CTGF_ITGA5,,,,,,,,,
851,CTGF,ITGAM,Connective tissue growth factor,Integrin alpha-M,"CCN2,HCS24,IGFBP8","CD11B,CR3A",CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,CD11 antigen-like family member B || CR-3 alpha chain || Cell surface glycoprotein MAC-1 subunit alpha || Leukocyte adhesion receptor MO1 || Neutrophil adherence receptor || CD antigen CD11b,"fantom5,HPMR",12736251,,,,CTGF_ITGAM,,,,,,,,,
852,CTGF,ITGB2,Connective tissue growth factor,Integrin beta-2,"CCN2,HCS24,IGFBP8","CD18,MFI7",CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,"Cell surface adhesion glycoproteins LFA-1/CR3/p150,95 subunit beta || Complement receptor C3 subunit beta || CD antigen CD18","HPMR,fantom5",12736251,,,,CTGF_ITGB2,,,,,,,,,
853,CTGF,LRP1,Connective tissue growth factor,Prolow-density lipoprotein receptor-related protein 1,"CCN2,HCS24,IGFBP8","A2MR,APR",CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"fantom5,HPRD",14585398,,,,CTGF_LRP1,,,,,,,,,
854,CTGF,LRP6,Connective tissue growth factor,Low-density lipoprotein receptor-related protein 6,"CCN2,HCS24,IGFBP8",,CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,LRP-6,"HPMR,fantom5",15105373,,,,CTGF_LRP6,,,,,,,,,
855,CTGF,NTRK1,Connective tissue growth factor,High affinity nerve growth factor receptor,"CCN2,HCS24,IGFBP8","MTC,TRK,TRKA",CCN family member 2 || Hypertrophic chondrocyte-specific protein 24 || Insulin-like growth factor-binding protein 8 || IBP-8 || IGF-binding protein 8 || IGFBP-8,EC 2.7.10.1 || Neurotrophic tyrosine kinase receptor type 1 || TRK1-transforming tyrosine kinase protein || Tropomyosin-related kinase A || Tyrosine kinase receptor || Tyrosine kinase receptor A || Trk-A || gp140trk || p140-TrkA,fantom5,15601748,,,,CTGF_NTRK1,,,,,,,,,
856,CTHRC1,FZD3,Collagen triple helix repeat-containing protein 1,Frizzled-3,UNQ762/PRO1550,,Protein NMTC1,Fz-3 || hFz3,fantom5,18606138,,,,CTHRC1_FZD3,,,,,,,,,
858,CTHRC1,FZD6,Collagen triple helix repeat-containing protein 1,Frizzled-6,UNQ762/PRO1550,,Protein NMTC1,Fz-6 || hFz6,fantom5,18606138,,,,CTHRC1_FZD6,,,,,,,,,
859,CUBN,LRP2,Cubilin,Low-density lipoprotein receptor-related protein 2,IFCR,,460 kDa receptor || Intestinal intrinsic factor receptor || Intrinsic factor-cobalamin receptor || Intrinsic factor-vitamin B12 receptor,LRP-2 || Glycoprotein 330 || gp330 || Megalin,"fantom5,HPRD","11994745,12",,,,CUBN_LRP2,,,,,,,,,
862,CXCL10,CCR3,C-X-C motif chemokine 10,C-C chemokine receptor type 3,"INP10,SCYB10",CMKBR3,10 kDa interferon gamma-induced protein || Gamma-IP10 || IP-10 || Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73),C-C CKR-3 || CC-CKR-3 || CCR-3 || CCR3 || CKR3 || Eosinophil eotaxin receptor || CD antigen CD193,"fantom5,IUPHAR,HPRD",11110785,,,,CXCL10_CCR3,,,,,,,,,
863,CXCL10,CXCR3,C-X-C motif chemokine 10,C-X-C chemokine receptor type 3,"INP10,SCYB10",GPR9,10 kDa interferon gamma-induced protein || Gamma-IP10 || IP-10 || Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73),CXC-R3 || CXCR-3 || CKR-L2 || G protein-coupled receptor 9 || Interferon-inducible protein 10 receptor || IP-10 receptor || CD antigen CD183,"HPRD,HPMR,fantom5,IUPHAR,uniprot,literature",10699158,,"T lymphocyte,B lymphocyte",,CXCL10_CXCR3,,,,,,,,,
864,CXCL10,GRM7,C-X-C motif chemokine 10,Metabotropic glutamate receptor 7,"INP10,SCYB10","GPRC1G,MGLUR7",10 kDa interferon gamma-induced protein || Gamma-IP10 || IP-10 || Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73),mGluR7,reactome,,,,,CXCL10_GRM7,,,,,,,,,
865,CXCL10,MTNR1A,C-X-C motif chemokine 10,Melatonin receptor type 1A,"INP10,SCYB10",,10 kDa interferon gamma-induced protein || Gamma-IP10 || IP-10 || Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73),Mel-1A-R || Mel1a receptor,reactome,,,,,CXCL10_MTNR1A,,,,,,,,,
866,CXCL10,SDC4,C-X-C motif chemokine 10,Syndecan-4,"INP10,SCYB10",,10 kDa interferon gamma-induced protein || Gamma-IP10 || IP-10 || Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73),SYND4 || Amphiglycan || Ryudocan core protein,fantom5,20484822,,,,CXCL10_SDC4,,,,,,,,,
